ds,sku,sales,promo,dayofweek,month,lag_1,lag_7,ma7,ma30
2024-04-02,SKU-1,136,0,1,4,140.0,145.0,138.57142857142858,140.66666666666666
2024-04-03,SKU-1,136,0,2,4,136.0,127.0,139.85714285714286,140.5
2024-04-04,SKU-1,183,1,3,4,136.0,142.0,145.71428571428572,141.8
2024-04-05,SKU-1,149,0,4,4,183.0,138.0,147.28571428571428,142.43333333333334
2024-04-06,SKU-1,147,0,5,4,149.0,146.0,147.42857142857142,143.26666666666668
2024-04-07,SKU-1,146,0,6,4,147.0,141.0,148.14285714285714,142.03333333333333
2024-04-08,SKU-1,134,0,0,4,146.0,140.0,147.28571428571428,142.0
2024-04-09,SKU-1,138,0,1,4,134.0,136.0,147.57142857142858,141.7
2024-04-10,SKU-1,134,0,2,4,138.0,136.0,147.28571428571428,141.76666666666668
2024-04-11,SKU-1,137,0,3,4,134.0,183.0,140.71428571428572,140.53333333333333
2024-04-12,SKU-1,132,0,4,4,137.0,149.0,138.28571428571428,140.46666666666667
2024-04-13,SKU-1,154,0,5,4,132.0,147.0,139.28571428571428,141.33333333333334
2024-04-14,SKU-1,140,0,6,4,154.0,146.0,138.42857142857142,141.1
2024-04-15,SKU-1,134,0,0,4,140.0,134.0,138.42857142857142,140.73333333333332
2024-04-16,SKU-1,132,0,1,4,134.0,138.0,137.57142857142858,140.26666666666668
2024-04-17,SKU-1,135,0,2,4,132.0,134.0,137.71428571428572,140.06666666666666
2024-04-18,SKU-1,137,0,3,4,135.0,137.0,137.71428571428572,139.86666666666667
2024-04-19,SKU-1,140,0,4,4,137.0,132.0,138.85714285714286,139.7
2024-04-20,SKU-1,141,0,5,4,140.0,154.0,137.0,139.9
2024-04-21,SKU-1,135,0,6,4,141.0,140.0,136.28571428571428,140.1
2024-04-22,SKU-1,131,0,0,4,135.0,134.0,135.85714285714286,139.86666666666667
2024-04-23,SKU-1,144,0,1,4,131.0,132.0,137.57142857142858,139.9
2024-04-24,SKU-1,139,0,2,4,144.0,135.0,138.14285714285714,140.43333333333334
2024-04-25,SKU-1,144,0,3,4,139.0,137.0,139.14285714285714,140.4
2024-04-26,SKU-1,145,0,4,4,144.0,140.0,139.85714285714286,141.0
2024-04-27,SKU-1,146,0,5,4,145.0,141.0,140.57142857142858,141.13333333333333
2024-04-28,SKU-1,137,0,6,4,146.0,135.0,140.85714285714286,141.1
2024-04-29,SKU-1,141,0,0,4,137.0,131.0,142.28571428571428,140.93333333333334
2024-04-30,SKU-1,148,0,1,4,141.0,144.0,142.85714285714286,141.16666666666666
2024-05-01,SKU-1,137,0,2,5,148.0,139.0,142.57142857142858,141.06666666666666
2024-05-02,SKU-1,142,0,3,5,137.0,144.0,142.28571428571428,141.26666666666668
2024-05-03,SKU-1,140,0,4,5,142.0,145.0,141.57142857142858,141.4
2024-05-04,SKU-1,202,1,5,5,140.0,146.0,149.57142857142858,142.03333333333333
2024-05-05,SKU-1,141,0,6,5,202.0,137.0,150.14285714285714,141.76666666666668
2024-05-06,SKU-1,147,0,0,5,141.0,141.0,151.0,141.76666666666668
2024-05-07,SKU-1,138,0,1,5,147.0,148.0,149.57142857142858,141.5
2024-05-08,SKU-1,136,0,2,5,138.0,137.0,149.42857142857142,141.56666666666666
2024-05-09,SKU-1,140,0,3,5,136.0,142.0,149.14285714285714,141.63333333333333
2024-05-10,SKU-1,142,0,4,5,140.0,140.0,149.42857142857142,141.9
2024-05-11,SKU-1,156,0,5,5,142.0,202.0,142.85714285714286,142.53333333333333
2024-05-12,SKU-1,147,0,6,5,156.0,141.0,143.71428571428572,143.03333333333333
2024-05-13,SKU-1,141,0,0,5,147.0,147.0,142.85714285714286,142.6
2024-05-14,SKU-1,149,0,1,5,141.0,138.0,144.42857142857142,142.9
2024-05-15,SKU-1,143,0,2,5,149.0,136.0,145.42857142857142,143.2
2024-05-16,SKU-1,136,0,3,5,143.0,140.0,144.85714285714286,143.33333333333334
2024-05-17,SKU-1,148,0,4,5,136.0,142.0,145.71428571428572,143.76666666666668
2024-05-18,SKU-1,140,0,5,5,148.0,156.0,143.42857142857142,143.86666666666667
2024-05-19,SKU-1,140,0,6,5,140.0,147.0,142.42857142857142,143.86666666666667
2024-05-20,SKU-1,134,0,0,5,140.0,141.0,141.42857142857142,143.63333333333333
2024-05-21,SKU-1,134,0,1,5,134.0,149.0,139.28571428571428,143.6
2024-05-22,SKU-1,141,0,2,5,134.0,143.0,139.0,143.93333333333334
2024-05-23,SKU-1,138,0,3,5,141.0,136.0,139.28571428571428,143.73333333333332
2024-05-24,SKU-1,118,0,4,5,138.0,148.0,135.0,143.03333333333333
2024-05-25,SKU-1,142,0,5,5,118.0,140.0,135.28571428571428,142.96666666666667
2024-05-26,SKU-1,141,0,6,5,142.0,140.0,135.42857142857142,142.83333333333334
2024-05-27,SKU-1,193,1,0,5,141.0,134.0,143.85714285714286,144.4
2024-05-28,SKU-1,135,0,1,5,193.0,134.0,144.0,144.33333333333334
2024-05-29,SKU-1,154,0,2,5,135.0,141.0,145.85714285714286,144.76666666666668
2024-05-30,SKU-1,147,0,3,5,154.0,138.0,147.14285714285714,144.73333333333332
2024-05-31,SKU-1,136,0,4,5,147.0,118.0,149.71428571428572,144.7
2024-06-01,SKU-1,151,0,5,6,136.0,142.0,151.0,145.0
2024-06-02,SKU-1,147,0,6,6,151.0,141.0,151.85714285714286,145.23333333333332
2024-06-03,SKU-1,140,0,0,6,147.0,193.0,144.28571428571428,143.16666666666666
2024-06-04,SKU-1,143,0,1,6,140.0,135.0,145.42857142857142,143.23333333333332
2024-06-05,SKU-1,139,0,2,6,143.0,154.0,143.28571428571428,142.96666666666667
2024-06-06,SKU-1,140,0,3,6,139.0,147.0,142.28571428571428,143.03333333333333
2024-06-07,SKU-1,143,0,4,6,140.0,136.0,143.28571428571428,143.26666666666668
2024-06-08,SKU-1,156,0,5,6,143.0,151.0,144.0,143.8
2024-06-09,SKU-1,144,0,6,6,156.0,147.0,143.57142857142858,143.86666666666667
2024-06-10,SKU-1,135,0,0,6,144.0,140.0,142.85714285714286,143.16666666666666
2024-06-11,SKU-1,125,0,1,6,135.0,143.0,140.28571428571428,142.43333333333334
2024-06-12,SKU-1,150,0,2,6,125.0,139.0,141.85714285714286,142.73333333333332
2024-06-13,SKU-1,136,0,3,6,150.0,140.0,141.28571428571428,142.3
2024-06-14,SKU-1,141,0,4,6,136.0,143.0,141.0,142.23333333333332
2024-06-15,SKU-1,154,0,5,6,141.0,156.0,140.71428571428572,142.83333333333334
2024-06-16,SKU-1,144,0,6,6,154.0,144.0,140.71428571428572,142.7
2024-06-17,SKU-1,136,0,0,6,144.0,135.0,140.85714285714286,142.56666666666666
2024-06-18,SKU-1,146,0,1,6,136.0,125.0,143.85714285714286,142.76666666666668
2024-06-19,SKU-1,140,0,2,6,146.0,150.0,142.42857142857142,142.96666666666667
2024-06-20,SKU-1,141,0,3,6,140.0,136.0,143.14285714285714,143.2
2024-06-21,SKU-1,128,0,4,6,141.0,141.0,141.28571428571428,142.76666666666668
2024-06-22,SKU-1,149,0,5,6,128.0,154.0,140.57142857142858,143.13333333333333
2024-06-23,SKU-1,144,0,6,6,149.0,144.0,140.57142857142858,144.0
2024-06-24,SKU-1,128,0,0,6,144.0,136.0,139.42857142857142,143.53333333333333
2024-06-25,SKU-1,139,0,1,6,128.0,146.0,138.42857142857142,143.46666666666667
2024-06-26,SKU-1,124,0,2,6,139.0,140.0,136.14285714285714,141.16666666666666
2024-06-27,SKU-1,151,0,3,6,124.0,141.0,137.57142857142858,141.7
2024-06-28,SKU-1,129,0,4,6,151.0,128.0,137.71428571428572,140.86666666666667
2024-06-29,SKU-1,151,0,5,6,129.0,149.0,138.0,141.0
2024-06-30,SKU-1,136,0,6,6,151.0,144.0,136.85714285714286,141.0
2024-07-01,SKU-1,139,0,0,7,136.0,128.0,138.42857142857142,140.6
2024-07-02,SKU-1,130,0,1,7,139.0,139.0,137.14285714285714,140.03333333333333
2024-07-03,SKU-1,142,0,2,7,130.0,124.0,139.71428571428572,140.1
2024-07-04,SKU-1,134,0,3,7,142.0,151.0,137.28571428571428,139.8
2024-07-05,SKU-1,138,0,4,7,134.0,129.0,138.57142857142858,139.76666666666668
2024-07-06,SKU-1,141,0,5,7,138.0,151.0,137.14285714285714,139.8
2024-07-07,SKU-1,132,0,6,7,141.0,136.0,136.57142857142858,139.43333333333334
2024-07-08,SKU-1,138,0,0,7,132.0,139.0,136.42857142857142,138.83333333333334
2024-07-09,SKU-1,132,0,1,7,138.0,130.0,136.71428571428572,138.43333333333334
2024-07-10,SKU-1,141,0,2,7,132.0,142.0,136.57142857142858,138.63333333333333
2024-07-11,SKU-1,134,0,3,7,141.0,134.0,136.57142857142858,138.93333333333334
2024-07-12,SKU-1,134,0,4,7,134.0,138.0,136.0,138.4
2024-07-13,SKU-1,150,0,5,7,134.0,141.0,137.28571428571428,138.86666666666667
2024-07-14,SKU-1,154,0,6,7,150.0,132.0,140.42857142857142,139.3
2024-07-15,SKU-1,139,0,0,7,154.0,138.0,140.57142857142858,138.8
2024-07-16,SKU-1,133,0,1,7,139.0,132.0,140.71428571428572,138.43333333333334
2024-07-17,SKU-1,132,0,2,7,133.0,141.0,139.42857142857142,138.3
2024-07-18,SKU-1,129,0,3,7,132.0,134.0,138.71428571428572,137.73333333333332
2024-07-19,SKU-1,130,0,4,7,129.0,134.0,138.14285714285714,137.4
2024-07-20,SKU-1,137,0,5,7,130.0,150.0,136.28571428571428,137.26666666666668
2024-07-21,SKU-1,151,0,6,7,137.0,154.0,135.85714285714286,138.03333333333333
2024-07-22,SKU-1,133,0,0,7,151.0,139.0,135.0,137.5
2024-07-23,SKU-1,126,0,1,7,133.0,133.0,134.0,136.9
2024-07-24,SKU-1,134,0,2,7,126.0,132.0,134.28571428571428,137.1
2024-07-25,SKU-1,135,0,3,7,134.0,129.0,135.14285714285714,136.96666666666667
2024-07-26,SKU-1,134,0,4,7,135.0,130.0,135.71428571428572,137.3
2024-07-27,SKU-1,143,0,5,7,134.0,137.0,136.57142857142858,137.03333333333333
2024-07-28,SKU-1,139,0,6,7,143.0,151.0,134.85714285714286,137.36666666666667
2024-07-29,SKU-1,138,0,0,7,139.0,133.0,135.57142857142858,136.93333333333334
2024-07-30,SKU-1,129,0,1,7,138.0,126.0,136.0,136.7
2024-07-31,SKU-1,144,0,2,7,129.0,134.0,137.42857142857142,136.86666666666667
2024-08-01,SKU-1,184,1,3,8,144.0,135.0,144.42857142857142,138.66666666666666
2024-08-02,SKU-1,136,0,4,8,184.0,134.0,144.71428571428572,138.46666666666667
2024-08-03,SKU-1,133,0,5,8,136.0,143.0,143.28571428571428,138.43333333333334
2024-08-04,SKU-1,141,0,6,8,133.0,139.0,143.57142857142858,138.53333333333333
2024-08-05,SKU-1,137,0,0,8,141.0,138.0,143.42857142857142,138.4
2024-08-06,SKU-1,126,0,1,8,137.0,129.0,143.0,138.2
2024-08-07,SKU-1,123,0,2,8,126.0,144.0,140.0,137.7
2024-08-08,SKU-1,135,0,3,8,123.0,184.0,133.0,137.8
2024-08-09,SKU-1,130,0,4,8,135.0,136.0,132.14285714285714,137.43333333333334
2024-08-10,SKU-1,139,0,5,8,130.0,133.0,133.0,137.6
2024-08-11,SKU-1,130,0,6,8,139.0,141.0,131.42857142857142,137.46666666666667
2024-08-12,SKU-1,123,0,0,8,130.0,137.0,129.42857142857142,136.56666666666666
2024-08-13,SKU-1,134,0,1,8,123.0,126.0,130.57142857142858,135.9
2024-08-14,SKU-1,130,0,2,8,134.0,123.0,131.57142857142858,135.6
2024-08-15,SKU-1,120,0,3,8,130.0,135.0,129.42857142857142,135.16666666666666
2024-08-16,SKU-1,141,0,4,8,120.0,130.0,131.0,135.46666666666667
2024-08-17,SKU-1,129,0,5,8,141.0,139.0,129.57142857142858,135.46666666666667
2024-08-18,SKU-1,153,0,6,8,129.0,130.0,132.85714285714286,136.23333333333332
2024-08-19,SKU-1,128,0,0,8,153.0,123.0,133.57142857142858,135.93333333333334
2024-08-20,SKU-1,135,0,1,8,128.0,134.0,133.71428571428572,135.4
2024-08-21,SKU-1,142,0,2,8,135.0,130.0,135.42857142857142,135.7
2024-08-22,SKU-1,141,0,3,8,142.0,120.0,138.42857142857142,136.2
2024-08-23,SKU-1,144,0,4,8,141.0,141.0,138.85714285714286,136.53333333333333
2024-08-24,SKU-1,128,0,5,8,144.0,129.0,138.71428571428572,136.3
2024-08-25,SKU-1,179,1,6,8,128.0,153.0,142.42857142857142,137.8
2024-08-26,SKU-1,133,0,0,8,179.0,128.0,143.14285714285714,137.46666666666667
2024-08-27,SKU-1,137,0,1,8,133.0,135.0,143.42857142857142,137.4
2024-08-28,SKU-1,132,0,2,8,137.0,142.0,142.0,137.2
2024-08-29,SKU-1,122,0,3,8,132.0,141.0,139.28571428571428,136.96666666666667
2024-08-30,SKU-1,135,0,4,8,122.0,144.0,138.0,136.66666666666666
2024-08-31,SKU-1,136,0,5,8,135.0,128.0,139.14285714285714,135.06666666666666
2024-09-01,SKU-1,136,0,6,9,136.0,179.0,133.0,135.06666666666666
2024-09-02,SKU-1,118,0,0,9,136.0,133.0,130.85714285714286,134.56666666666666
2024-09-03,SKU-1,137,0,1,9,118.0,137.0,130.85714285714286,134.43333333333334
2024-09-04,SKU-1,133,0,2,9,137.0,132.0,131.0,134.3
2024-09-05,SKU-1,143,0,3,9,133.0,122.0,134.0,134.86666666666667
2024-09-06,SKU-1,131,0,4,9,143.0,135.0,133.42857142857142,135.13333333333333
2024-09-07,SKU-1,140,0,5,9,131.0,136.0,134.0,135.3
2024-09-08,SKU-1,142,0,6,9,140.0,136.0,134.85714285714286,135.7
2024-09-09,SKU-1,121,0,0,9,142.0,118.0,135.28571428571428,135.1
2024-09-10,SKU-1,148,0,1,9,121.0,137.0,136.85714285714286,135.7
2024-09-11,SKU-1,129,0,2,9,148.0,133.0,136.28571428571428,135.9
2024-09-12,SKU-1,135,0,3,9,129.0,143.0,135.14285714285714,135.93333333333334
2024-09-13,SKU-1,136,0,4,9,135.0,131.0,135.85714285714286,136.13333333333333
2024-09-14,SKU-1,132,0,5,9,136.0,140.0,134.71428571428572,136.53333333333333
2024-09-15,SKU-1,148,0,6,9,132.0,142.0,135.57142857142858,136.76666666666668
2024-09-16,SKU-1,134,0,0,9,148.0,121.0,137.42857142857142,136.93333333333334
2024-09-17,SKU-1,131,0,1,9,134.0,148.0,135.0,136.2
2024-09-18,SKU-1,133,0,2,9,131.0,129.0,135.57142857142858,136.36666666666667
2024-09-19,SKU-1,137,0,3,9,133.0,135.0,135.85714285714286,136.43333333333334
2024-09-20,SKU-1,132,0,4,9,137.0,136.0,135.28571428571428,136.1
2024-09-21,SKU-1,143,0,5,9,132.0,132.0,136.85714285714286,136.16666666666666
2024-09-22,SKU-1,127,0,6,9,143.0,148.0,133.85714285714286,135.6
2024-09-23,SKU-1,128,0,0,9,127.0,134.0,133.0,135.6
2024-09-24,SKU-1,119,0,1,9,128.0,131.0,131.28571428571428,133.6
2024-09-25,SKU-1,145,0,2,9,119.0,133.0,133.0,134.0
2024-09-26,SKU-1,145,0,3,9,145.0,137.0,134.14285714285714,134.26666666666668
2024-09-27,SKU-1,137,0,4,9,145.0,132.0,134.85714285714286,134.43333333333334
2024-09-28,SKU-1,132,0,5,9,137.0,143.0,133.28571428571428,134.76666666666668
2024-09-29,SKU-1,152,0,6,9,132.0,127.0,136.85714285714286,135.33333333333334
2024-09-30,SKU-1,178,1,0,9,152.0,128.0,144.0,136.73333333333332
2024-10-01,SKU-1,132,0,1,10,178.0,119.0,145.85714285714286,136.6
2024-10-02,SKU-1,134,0,2,10,132.0,145.0,144.28571428571428,137.13333333333333
2024-10-03,SKU-1,136,0,3,10,134.0,145.0,143.0,137.1
2024-10-04,SKU-1,137,0,4,10,136.0,137.0,143.0,137.23333333333332
2024-10-05,SKU-1,143,0,5,10,137.0,132.0,144.57142857142858,137.23333333333332
2024-10-06,SKU-1,138,0,6,10,143.0,152.0,142.57142857142858,137.46666666666667
2024-10-07,SKU-1,186,1,0,10,138.0,178.0,143.71428571428572,139.0
2024-10-08,SKU-1,132,0,1,10,186.0,132.0,143.71428571428572,138.66666666666666
2024-10-09,SKU-1,137,0,2,10,132.0,134.0,144.14285714285714,139.2
2024-10-10,SKU-1,137,0,3,10,137.0,136.0,144.28571428571428,138.83333333333334
2024-10-11,SKU-1,139,0,4,10,137.0,137.0,144.57142857142858,139.16666666666666
2024-10-12,SKU-1,143,0,5,10,139.0,143.0,144.57142857142858,139.43333333333334
2024-10-13,SKU-1,136,0,6,10,143.0,138.0,144.28571428571428,139.43333333333334
2024-10-14,SKU-1,137,0,0,10,136.0,186.0,137.28571428571428,139.6
2024-10-15,SKU-1,138,0,1,10,137.0,132.0,138.14285714285714,139.26666666666668
2024-10-16,SKU-1,127,0,2,10,138.0,137.0,136.71428571428572,139.03333333333333
2024-10-17,SKU-1,182,1,3,10,127.0,137.0,143.14285714285714,140.73333333333332
2024-10-18,SKU-1,139,0,4,10,182.0,139.0,143.14285714285714,140.93333333333334
2024-10-19,SKU-1,150,0,5,10,139.0,143.0,144.14285714285714,141.36666666666667
2024-10-20,SKU-1,145,0,6,10,150.0,136.0,145.42857142857142,141.8
2024-10-21,SKU-1,146,0,0,10,145.0,137.0,146.71428571428572,141.9
2024-10-22,SKU-1,133,0,1,10,146.0,138.0,146.0,142.1
2024-10-23,SKU-1,137,0,2,10,133.0,127.0,147.42857142857142,142.4
2024-10-24,SKU-1,141,0,3,10,137.0,182.0,141.57142857142858,143.13333333333333
2024-10-25,SKU-1,122,0,4,10,141.0,139.0,139.14285714285714,142.36666666666667
2024-10-26,SKU-1,150,0,5,10,122.0,150.0,139.14285714285714,142.53333333333333
2024-10-27,SKU-1,130,0,6,10,150.0,145.0,137.0,142.3
2024-10-28,SKU-1,142,0,0,10,130.0,146.0,136.42857142857142,142.63333333333333
2024-10-29,SKU-1,141,0,1,10,142.0,133.0,137.57142857142858,142.26666666666668
2024-10-30,SKU-1,122,0,2,10,141.0,137.0,135.42857142857142,140.4
2024-10-31,SKU-1,123,0,3,10,122.0,141.0,132.85714285714286,140.1
2024-11-01,SKU-1,146,0,4,11,123.0,122.0,136.28571428571428,140.5
2024-11-02,SKU-1,198,1,5,11,146.0,150.0,143.14285714285714,142.56666666666666
2024-11-03,SKU-1,137,0,6,11,198.0,130.0,144.14285714285714,142.56666666666666
2024-11-04,SKU-1,132,0,0,11,137.0,142.0,142.71428571428572,142.2
2024-11-05,SKU-1,141,0,1,11,132.0,141.0,142.71428571428572,142.3
2024-11-06,SKU-1,138,0,2,11,141.0,122.0,145.0,140.7
2024-11-07,SKU-1,144,0,3,11,138.0,123.0,148.0,141.1
2024-11-08,SKU-1,141,0,4,11,144.0,146.0,147.28571428571428,141.23333333333332
2024-11-09,SKU-1,153,0,5,11,141.0,198.0,140.85714285714286,141.76666666666668
2024-11-10,SKU-1,149,0,6,11,153.0,137.0,142.57142857142858,142.1
2024-11-11,SKU-1,143,0,0,11,149.0,132.0,144.14285714285714,142.1
2024-11-12,SKU-1,137,0,1,11,143.0,141.0,143.57142857142858,142.13333333333333
2024-11-13,SKU-1,136,0,2,11,137.0,138.0,143.28571428571428,142.1
2024-11-14,SKU-1,139,0,3,11,136.0,144.0,142.57142857142858,142.13333333333333
2024-11-15,SKU-1,151,0,4,11,139.0,141.0,144.0,142.93333333333334
2024-11-16,SKU-1,142,0,5,11,151.0,153.0,142.42857142857142,141.6
2024-11-17,SKU-1,146,0,6,11,142.0,149.0,142.0,141.83333333333334
2024-11-18,SKU-1,126,0,0,11,146.0,143.0,139.57142857142858,141.03333333333333
2024-11-19,SKU-1,144,0,1,11,126.0,137.0,140.57142857142858,141.0
2024-11-20,SKU-1,154,0,2,11,144.0,136.0,143.14285714285714,141.26666666666668
