ds,sku,sales,promo
2024-03-07,SKU-1,122,0
2024-03-08,SKU-1,183,1
2024-03-09,SKU-1,135,0
2024-03-10,SKU-1,147,0
2024-03-11,SKU-1,132,0
2024-03-12,SKU-1,174,1
2024-03-13,SKU-1,134,0
2024-03-14,SKU-1,128,0
2024-03-15,SKU-1,147,0
2024-03-16,SKU-1,145,0
2024-03-17,SKU-1,146,0
2024-03-18,SKU-1,141,0
2024-03-19,SKU-1,143,0
2024-03-20,SKU-1,145,0
2024-03-21,SKU-1,135,0
2024-03-22,SKU-1,129,0
2024-03-23,SKU-1,138,0
2024-03-24,SKU-1,143,0
2024-03-25,SKU-1,123,0
2024-03-26,SKU-1,145,0
2024-03-27,SKU-1,127,0
2024-03-28,SKU-1,142,0
2024-03-29,SKU-1,138,0
2024-03-30,SKU-1,146,0
2024-03-31,SKU-1,141,0
2024-04-01,SKU-1,140,0
2024-04-02,SKU-1,136,0
2024-04-03,SKU-1,136,0
2024-04-04,SKU-1,183,1
2024-04-05,SKU-1,149,0
2024-04-06,SKU-1,147,0
2024-04-07,SKU-1,146,0
2024-04-08,SKU-1,134,0
2024-04-09,SKU-1,138,0
2024-04-10,SKU-1,134,0
2024-04-11,SKU-1,137,0
2024-04-12,SKU-1,132,0
2024-04-13,SKU-1,154,0
2024-04-14,SKU-1,140,0
2024-04-15,SKU-1,134,0
2024-04-16,SKU-1,132,0
2024-04-17,SKU-1,135,0
2024-04-18,SKU-1,137,0
2024-04-19,SKU-1,140,0
2024-04-20,SKU-1,141,0
2024-04-21,SKU-1,135,0
2024-04-22,SKU-1,131,0
2024-04-23,SKU-1,144,0
2024-04-24,SKU-1,139,0
2024-04-25,SKU-1,144,0
2024-04-26,SKU-1,145,0
2024-04-27,SKU-1,146,0
2024-04-28,SKU-1,137,0
2024-04-29,SKU-1,141,0
2024-04-30,SKU-1,148,0
2024-05-01,SKU-1,137,0
2024-05-02,SKU-1,142,0
2024-05-03,SKU-1,140,0
2024-05-04,SKU-1,202,1
2024-05-05,SKU-1,141,0
2024-05-06,SKU-1,147,0
2024-05-07,SKU-1,138,0
2024-05-08,SKU-1,136,0
2024-05-09,SKU-1,140,0
2024-05-10,SKU-1,142,0
2024-05-11,SKU-1,156,0
2024-05-12,SKU-1,147,0
2024-05-13,SKU-1,141,0
2024-05-14,SKU-1,149,0
2024-05-15,SKU-1,143,0
2024-05-16,SKU-1,136,0
2024-05-17,SKU-1,148,0
2024-05-18,SKU-1,140,0
2024-05-19,SKU-1,140,0
2024-05-20,SKU-1,134,0
2024-05-21,SKU-1,134,0
2024-05-22,SKU-1,141,0
2024-05-23,SKU-1,138,0
2024-05-24,SKU-1,118,0
2024-05-25,SKU-1,142,0
2024-05-26,SKU-1,141,0
2024-05-27,SKU-1,193,1
2024-05-28,SKU-1,135,0
2024-05-29,SKU-1,154,0
2024-05-30,SKU-1,147,0
2024-05-31,SKU-1,136,0
2024-06-01,SKU-1,151,0
2024-06-02,SKU-1,147,0
2024-06-03,SKU-1,140,0
2024-06-04,SKU-1,143,0
2024-06-05,SKU-1,139,0
2024-06-06,SKU-1,140,0
2024-06-07,SKU-1,143,0
2024-06-08,SKU-1,156,0
2024-06-09,SKU-1,144,0
2024-06-10,SKU-1,135,0
2024-06-11,SKU-1,125,0
2024-06-12,SKU-1,150,0
2024-06-13,SKU-1,136,0
2024-06-14,SKU-1,141,0
2024-06-15,SKU-1,154,0
2024-06-16,SKU-1,144,0
2024-06-17,SKU-1,136,0
2024-06-18,SKU-1,146,0
2024-06-19,SKU-1,140,0
2024-06-20,SKU-1,141,0
2024-06-21,SKU-1,128,0
2024-06-22,SKU-1,149,0
2024-06-23,SKU-1,144,0
2024-06-24,SKU-1,128,0
2024-06-25,SKU-1,139,0
2024-06-26,SKU-1,124,0
2024-06-27,SKU-1,151,0
2024-06-28,SKU-1,129,0
2024-06-29,SKU-1,151,0
2024-06-30,SKU-1,136,0
2024-07-01,SKU-1,139,0
2024-07-02,SKU-1,130,0
2024-07-03,SKU-1,142,0
2024-07-04,SKU-1,134,0
2024-07-05,SKU-1,138,0
2024-07-06,SKU-1,141,0
2024-07-07,SKU-1,132,0
2024-07-08,SKU-1,138,0
2024-07-09,SKU-1,132,0
2024-07-10,SKU-1,141,0
2024-07-11,SKU-1,134,0
2024-07-12,SKU-1,134,0
2024-07-13,SKU-1,150,0
2024-07-14,SKU-1,154,0
2024-07-15,SKU-1,139,0
2024-07-16,SKU-1,133,0
2024-07-17,SKU-1,132,0
2024-07-18,SKU-1,129,0
2024-07-19,SKU-1,130,0
2024-07-20,SKU-1,137,0
2024-07-21,SKU-1,151,0
2024-07-22,SKU-1,133,0
2024-07-23,SKU-1,126,0
2024-07-24,SKU-1,134,0
2024-07-25,SKU-1,135,0
2024-07-26,SKU-1,134,0
2024-07-27,SKU-1,143,0
2024-07-28,SKU-1,139,0
2024-07-29,SKU-1,138,0
2024-07-30,SKU-1,129,0
2024-07-31,SKU-1,144,0
2024-08-01,SKU-1,184,1
2024-08-02,SKU-1,136,0
2024-08-03,SKU-1,133,0
2024-08-04,SKU-1,141,0
2024-08-05,SKU-1,137,0
2024-08-06,SKU-1,126,0
2024-08-07,SKU-1,123,0
2024-08-08,SKU-1,135,0
2024-08-09,SKU-1,130,0
2024-08-10,SKU-1,139,0
2024-08-11,SKU-1,130,0
2024-08-12,SKU-1,123,0
2024-08-13,SKU-1,134,0
2024-08-14,SKU-1,130,0
2024-08-15,SKU-1,120,0
2024-08-16,SKU-1,141,0
2024-08-17,SKU-1,129,0
2024-08-18,SKU-1,153,0
2024-08-19,SKU-1,128,0
2024-08-20,SKU-1,135,0
2024-08-21,SKU-1,142,0
2024-08-22,SKU-1,141,0
2024-08-23,SKU-1,144,0
2024-08-24,SKU-1,128,0
2024-08-25,SKU-1,179,1
2024-08-26,SKU-1,133,0
2024-08-27,SKU-1,137,0
2024-08-28,SKU-1,132,0
2024-08-29,SKU-1,122,0
2024-08-30,SKU-1,135,0
2024-08-31,SKU-1,136,0
2024-09-01,SKU-1,136,0
2024-09-02,SKU-1,118,0
2024-09-03,SKU-1,137,0
2024-09-04,SKU-1,133,0
2024-09-05,SKU-1,143,0
2024-09-06,SKU-1,131,0
2024-09-07,SKU-1,140,0
2024-09-08,SKU-1,142,0
2024-09-09,SKU-1,121,0
2024-09-10,SKU-1,148,0
2024-09-11,SKU-1,129,0
2024-09-12,SKU-1,135,0
2024-09-13,SKU-1,136,0
2024-09-14,SKU-1,132,0
2024-09-15,SKU-1,148,0
2024-09-16,SKU-1,134,0
2024-09-17,SKU-1,131,0
2024-09-18,SKU-1,133,0
2024-09-19,SKU-1,137,0
2024-09-20,SKU-1,132,0
2024-09-21,SKU-1,143,0
2024-09-22,SKU-1,127,0
2024-09-23,SKU-1,128,0
2024-09-24,SKU-1,119,0
2024-09-25,SKU-1,145,0
2024-09-26,SKU-1,145,0
2024-09-27,SKU-1,137,0
2024-09-28,SKU-1,132,0
2024-09-29,SKU-1,152,0
2024-09-30,SKU-1,178,1
2024-10-01,SKU-1,132,0
2024-10-02,SKU-1,134,0
2024-10-03,SKU-1,136,0
2024-10-04,SKU-1,137,0
2024-10-05,SKU-1,143,0
2024-10-06,SKU-1,138,0
2024-10-07,SKU-1,186,1
2024-10-08,SKU-1,132,0
2024-10-09,SKU-1,137,0
2024-10-10,SKU-1,137,0
2024-10-11,SKU-1,139,0
2024-10-12,SKU-1,143,0
2024-10-13,SKU-1,136,0
2024-10-14,SKU-1,137,0
2024-10-15,SKU-1,138,0
2024-10-16,SKU-1,127,0
2024-10-17,SKU-1,182,1
2024-10-18,SKU-1,139,0
2024-10-19,SKU-1,150,0
2024-10-20,SKU-1,145,0
2024-10-21,SKU-1,146,0
2024-10-22,SKU-1,133,0
2024-10-23,SKU-1,137,0
2024-10-24,SKU-1,141,0
2024-10-25,SKU-1,122,0
2024-10-26,SKU-1,150,0
2024-10-27,SKU-1,130,0
2024-10-28,SKU-1,142,0
2024-10-29,SKU-1,141,0
2024-10-30,SKU-1,122,0
2024-10-31,SKU-1,123,0
2024-11-01,SKU-1,146,0
2024-11-02,SKU-1,198,1
2024-11-03,SKU-1,137,0
2024-11-04,SKU-1,132,0
2024-11-05,SKU-1,141,0
2024-11-06,SKU-1,138,0
2024-11-07,SKU-1,144,0
2024-11-08,SKU-1,141,0
2024-11-09,SKU-1,153,0
2024-11-10,SKU-1,149,0
2024-11-11,SKU-1,143,0
2024-11-12,SKU-1,137,0
2024-11-13,SKU-1,136,0
2024-11-14,SKU-1,139,0
2024-11-15,SKU-1,151,0
2024-11-16,SKU-1,142,0
2024-11-17,SKU-1,146,0
2024-11-18,SKU-1,126,0
2024-11-19,SKU-1,144,0
2024-11-20,SKU-1,154,0
2024-11-21,SKU-1,135,0
2024-11-22,SKU-1,160,0
2024-11-23,SKU-1,196,1
2024-11-24,SKU-1,131,0
2024-11-25,SKU-1,139,0
2024-11-26,SKU-1,150,0
2024-11-27,SKU-1,154,0
2024-11-28,SKU-1,147,0
2024-11-29,SKU-1,152,0
2024-11-30,SKU-1,140,0
2024-12-01,SKU-1,144,0
2024-12-02,SKU-1,133,0
2024-12-03,SKU-1,188,1
2024-12-04,SKU-1,148,0
2024-12-05,SKU-1,145,0
2024-12-06,SKU-1,149,0
2024-12-07,SKU-1,144,0
2024-12-08,SKU-1,144,0
2024-12-09,SKU-1,195,1
2024-12-10,SKU-1,141,0
2024-12-11,SKU-1,153,0
2024-12-12,SKU-1,142,0
2024-12-13,SKU-1,191,1
2024-12-14,SKU-1,153,0
2024-12-15,SKU-1,149,0
2024-12-16,SKU-1,139,0
2024-12-17,SKU-1,140,0
2024-12-18,SKU-1,150,0
2024-12-19,SKU-1,139,0
2024-12-20,SKU-1,156,0
2024-12-21,SKU-1,148,0
2024-12-22,SKU-1,157,0
2024-12-23,SKU-1,144,0
2024-12-24,SKU-1,143,0
2024-12-25,SKU-1,150,0
2024-12-26,SKU-1,155,0
2024-12-27,SKU-1,148,0
2024-12-28,SKU-1,154,0
2024-12-29,SKU-1,160,0
2024-12-30,SKU-1,155,0
2024-12-31,SKU-1,150,0
2024-01-01,SKU-2,202,1
2024-01-02,SKU-2,162,0
2024-01-03,SKU-2,156,0
2024-01-04,SKU-2,161,0
2024-01-05,SKU-2,144,0
2024-01-06,SKU-2,211,1
2024-01-07,SKU-2,151,0
2024-01-08,SKU-2,157,0
2024-01-09,SKU-2,145,0
2024-01-10,SKU-2,155,0
2024-01-11,SKU-2,155,0
2024-01-12,SKU-2,150,0
2024-01-13,SKU-2,165,0
2024-01-14,SKU-2,157,0
2024-01-15,SKU-2,157,0
2024-01-16,SKU-2,148,0
2024-01-17,SKU-2,146,0
2024-01-18,SKU-2,157,0
2024-01-19,SKU-2,155,0
2024-01-20,SKU-2,159,0
2024-01-21,SKU-2,155,0
2024-01-22,SKU-2,164,0
2024-01-23,SKU-2,145,0
2024-01-24,SKU-2,145,0
2024-01-25,SKU-2,161,0
2024-01-26,SKU-2,161,0
2024-01-27,SKU-2,162,0
2024-01-28,SKU-2,158,0
2024-01-29,SKU-2,159,0
2024-01-30,SKU-2,168,0
2024-01-31,SKU-2,174,0
2024-02-01,SKU-2,144,0
2024-02-02,SKU-2,153,0
2024-02-03,SKU-2,158,0
2024-02-04,SKU-2,174,0
2024-02-05,SKU-2,139,0
2024-02-06,SKU-2,161,0
2024-02-07,SKU-2,155,0
2024-02-08,SKU-2,170,0
2024-02-09,SKU-2,169,0
2024-02-10,SKU-2,166,0
2024-02-11,SKU-2,152,0
2024-02-12,SKU-2,154,0
2024-02-13,SKU-2,155,0
2024-02-14,SKU-2,149,0
2024-02-15,SKU-2,168,0
2024-02-16,SKU-2,149,0
2024-02-17,SKU-2,179,0
2024-02-18,SKU-2,179,0
2024-02-19,SKU-2,157,0
2024-02-20,SKU-2,163,0
2024-02-21,SKU-2,160,0
2024-02-22,SKU-2,168,0
2024-02-23,SKU-2,170,0
2024-02-24,SKU-2,168,0
2024-02-25,SKU-2,170,0
2024-02-26,SKU-2,157,0
2024-02-27,SKU-2,165,0
2024-02-28,SKU-2,163,0
2024-02-29,SKU-2,156,0
2024-03-01,SKU-2,162,0
2024-03-02,SKU-2,165,0
2024-03-03,SKU-2,163,0
2024-03-04,SKU-2,155,0
2024-03-05,SKU-2,164,0
2024-03-06,SKU-2,158,0
2024-03-07,SKU-2,160,0
2024-03-08,SKU-2,172,0
2024-03-09,SKU-2,174,0
2024-03-10,SKU-2,162,0
2024-03-11,SKU-2,167,0
2024-03-12,SKU-2,166,0
2024-03-13,SKU-2,177,0
2024-03-14,SKU-2,175,0
2024-03-15,SKU-2,154,0
2024-03-16,SKU-2,177,0
2024-03-17,SKU-2,180,0
2024-03-18,SKU-2,170,0
2024-03-19,SKU-2,163,0
2024-03-20,SKU-2,184,0
2024-03-21,SKU-2,230,1
2024-03-22,SKU-2,181,0
2024-03-23,SKU-2,181,0
2024-03-24,SKU-2,175,0
2024-03-25,SKU-2,162,0
2024-03-26,SKU-2,167,0
2024-03-27,SKU-2,165,0
2024-03-28,SKU-2,158,0
2024-03-29,SKU-2,172,0
2024-03-30,SKU-2,184,0
2024-03-31,SKU-2,170,0
2024-04-01,SKU-2,183,0
2024-04-02,SKU-2,156,0
2024-04-03,SKU-2,175,0
2024-04-04,SKU-2,180,0
2024-04-05,SKU-2,166,0
2024-04-06,SKU-2,172,0
2024-04-07,SKU-2,181,0
2024-04-08,SKU-2,172,0
2024-04-09,SKU-2,154,0
2024-04-10,SKU-2,162,0
2024-04-11,SKU-2,168,0
2024-04-12,SKU-2,158,0
2024-04-13,SKU-2,170,0
2024-04-14,SKU-2,164,0
2024-04-15,SKU-2,166,0
2024-04-16,SKU-2,166,0
2024-04-17,SKU-2,171,0
2024-04-18,SKU-2,168,0
2024-04-19,SKU-2,173,0
2024-04-20,SKU-2,177,0
2024-04-21,SKU-2,182,0
2024-04-22,SKU-2,176,0
2024-04-23,SKU-2,175,0
2024-04-24,SKU-2,192,0
2024-04-25,SKU-2,172,0
2024-04-26,SKU-2,188,0
2024-04-27,SKU-2,177,0
2024-04-28,SKU-2,174,0
2024-04-29,SKU-2,167,0
2024-04-30,SKU-2,181,0
2024-05-01,SKU-2,182,0
2024-05-02,SKU-2,174,0
2024-05-03,SKU-2,178,0
2024-05-04,SKU-2,165,0
2024-05-05,SKU-2,163,0
2024-05-06,SKU-2,179,0
2024-05-07,SKU-2,169,0
2024-05-08,SKU-2,175,0
2024-05-09,SKU-2,164,0
2024-05-10,SKU-2,182,0
2024-05-11,SKU-2,163,0
2024-05-12,SKU-2,165,0
2024-05-13,SKU-2,180,0
2024-05-14,SKU-2,151,0
2024-05-15,SKU-2,173,0
2024-05-16,SKU-2,169,0
2024-05-17,SKU-2,164,0
2024-05-18,SKU-2,173,0
2024-05-19,SKU-2,168,0
2024-05-20,SKU-2,181,0
2024-05-21,SKU-2,183,0
2024-05-22,SKU-2,165,0
2024-05-23,SKU-2,172,0
2024-05-24,SKU-2,160,0
2024-05-25,SKU-2,182,0
2024-05-26,SKU-2,182,0
2024-05-27,SKU-2,167,0
2024-05-28,SKU-2,170,0
2024-05-29,SKU-2,169,0
2024-05-30,SKU-2,158,0
2024-05-31,SKU-2,181,0
2024-06-01,SKU-2,169,0
2024-06-02,SKU-2,169,0
2024-06-03,SKU-2,168,0
2024-06-04,SKU-2,177,0
2024-06-05,SKU-2,165,0
2024-06-06,SKU-2,155,0
2024-06-07,SKU-2,163,0
2024-06-08,SKU-2,177,0
2024-06-09,SKU-2,249,1
2024-06-10,SKU-2,160,0
2024-06-11,SKU-2,218,1
2024-06-12,SKU-2,158,0
2024-06-13,SKU-2,157,0
2024-06-14,SKU-2,178,0
2024-06-15,SKU-2,185,0
2024-06-16,SKU-2,175,0
2024-06-17,SKU-2,165,0
2024-06-18,SKU-2,182,0
2024-06-19,SKU-2,170,0
2024-06-20,SKU-2,177,0
2024-06-21,SKU-2,165,0
2024-06-22,SKU-2,174,0
2024-06-23,SKU-2,164,0
2024-06-24,SKU-2,173,0
2024-06-25,SKU-2,170,0
2024-06-26,SKU-2,162,0
2024-06-27,SKU-2,162,0
2024-06-28,SKU-2,180,0
2024-06-29,SKU-2,187,0
2024-06-30,SKU-2,171,0
2024-07-01,SKU-2,168,0
2024-07-02,SKU-2,230,1
2024-07-03,SKU-2,169,0
2024-07-04,SKU-2,155,0
2024-07-05,SKU-2,171,0
2024-07-06,SKU-2,157,0
2024-07-07,SKU-2,167,0
2024-07-08,SKU-2,171,0
2024-07-09,SKU-2,172,0
2024-07-10,SKU-2,161,0
2024-07-11,SKU-2,164,0
2024-07-12,SKU-2,163,0
2024-07-13,SKU-2,171,0
2024-07-14,SKU-2,172,0
2024-07-15,SKU-2,172,0
2024-07-16,SKU-2,163,0
2024-07-17,SKU-2,170,0
2024-07-18,SKU-2,171,0
2024-07-19,SKU-2,168,0
2024-07-20,SKU-2,170,0
2024-07-21,SKU-2,173,0
2024-07-22,SKU-2,172,0
2024-07-23,SKU-2,173,0
2024-07-24,SKU-2,180,0
2024-07-25,SKU-2,159,0
2024-07-26,SKU-2,163,0
2024-07-27,SKU-2,160,0
2024-07-28,SKU-2,178,0
2024-07-29,SKU-2,164,0
2024-07-30,SKU-2,168,0
2024-07-31,SKU-2,162,0
2024-08-01,SKU-2,164,0
2024-08-02,SKU-2,175,0
2024-08-03,SKU-2,176,0
2024-08-04,SKU-2,170,0
2024-08-05,SKU-2,172,0
2024-08-06,SKU-2,172,0
2024-08-07,SKU-2,222,1
2024-08-08,SKU-2,155,0
2024-08-09,SKU-2,160,0
2024-08-10,SKU-2,161,0
2024-08-11,SKU-2,180,0
2024-08-12,SKU-2,235,1
2024-08-13,SKU-2,178,0
2024-08-14,SKU-2,151,0
2024-08-15,SKU-2,233,1
2024-08-16,SKU-2,182,0
2024-08-17,SKU-2,179,0
2024-08-18,SKU-2,155,0
2024-08-19,SKU-2,179,0
2024-08-20,SKU-2,166,0
2024-08-21,SKU-2,164,0
2024-08-22,SKU-2,169,0
2024-08-23,SKU-2,158,0
2024-08-24,SKU-2,230,1
2024-08-25,SKU-2,183,0
2024-08-26,SKU-2,171,0
2024-08-27,SKU-2,167,0
2024-08-28,SKU-2,167,0
2024-08-29,SKU-2,158,0
2024-08-30,SKU-2,165,0
2024-08-31,SKU-2,159,0
2024-09-01,SKU-2,238,1
2024-09-02,SKU-2,150,0
2024-09-03,SKU-2,173,0
2024-09-04,SKU-2,174,0
2024-09-05,SKU-2,176,0
2024-09-06,SKU-2,167,0
2024-09-07,SKU-2,178,0
2024-09-08,SKU-2,170,0
2024-09-09,SKU-2,158,0
2024-09-10,SKU-2,178,0
2024-09-11,SKU-2,166,0
2024-09-12,SKU-2,156,0
2024-09-13,SKU-2,163,0
2024-09-14,SKU-2,169,0
2024-09-15,SKU-2,175,0
2024-09-16,SKU-2,184,0
2024-09-17,SKU-2,171,0
2024-09-18,SKU-2,169,0
2024-09-19,SKU-2,185,0
2024-09-20,SKU-2,175,0
2024-09-21,SKU-2,233,1
2024-09-22,SKU-2,169,0
2024-09-23,SKU-2,229,1
2024-09-24,SKU-2,167,0
2024-09-25,SKU-2,169,0
2024-09-26,SKU-2,178,0
2024-09-27,SKU-2,164,0
2024-09-28,SKU-2,177,0
2024-09-29,SKU-2,180,0
2024-09-30,SKU-2,164,0
2024-10-01,SKU-2,162,0
2024-10-02,SKU-2,168,0
2024-10-03,SKU-2,165,0
2024-10-04,SKU-2,177,0
2024-10-05,SKU-2,167,0
2024-10-06,SKU-2,175,0
2024-10-07,SKU-2,188,0
2024-10-08,SKU-2,172,0
2024-10-09,SKU-2,174,0
2024-10-10,SKU-2,237,1
2024-10-11,SKU-2,166,0
2024-10-12,SKU-2,167,0
2024-10-13,SKU-2,176,0
2024-10-14,SKU-2,172,0
2024-10-15,SKU-2,159,0
2024-10-16,SKU-2,173,0
2024-10-17,SKU-2,237,1
2024-10-18,SKU-2,164,0
2024-10-19,SKU-2,238,1
2024-10-20,SKU-2,183,0
2024-10-21,SKU-2,176,0
2024-10-22,SKU-2,177,0
2024-10-23,SKU-2,170,0
2024-10-24,SKU-2,164,0
2024-10-25,SKU-2,228,1
2024-10-26,SKU-2,173,0
2024-10-27,SKU-2,236,1
2024-10-28,SKU-2,181,0
2024-10-29,SKU-2,163,0
2024-10-30,SKU-2,174,0
2024-10-31,SKU-2,166,0
2024-11-01,SKU-2,168,0
2024-11-02,SKU-2,183,0
2024-11-03,SKU-2,170,0
2024-11-04,SKU-2,180,0
2024-11-05,SKU-2,164,0
2024-11-06,SKU-2,180,0
2024-11-07,SKU-2,163,0
2024-11-08,SKU-2,171,0
2024-11-09,SKU-2,194,0
2024-11-10,SKU-2,193,0
2024-11-11,SKU-2,173,0
2024-11-12,SKU-2,179,0
2024-11-13,SKU-2,185,0
2024-11-14,SKU-2,181,0
2024-11-15,SKU-2,175,0
2024-11-16,SKU-2,176,0
2024-11-17,SKU-2,189,0
2024-11-18,SKU-2,186,0
2024-11-19,SKU-2,190,0
2024-11-20,SKU-2,165,0
2024-11-21,SKU-2,169,0
2024-11-22,SKU-2,187,0
2024-11-23,SKU-2,172,0
2024-11-24,SKU-2,193,0
2024-11-25,SKU-2,178,0
2024-11-26,SKU-2,234,1
2024-11-27,SKU-2,181,0
2024-11-28,SKU-2,170,0
2024-11-29,SKU-2,186,0
2024-11-30,SKU-2,257,1
2024-12-01,SKU-2,192,0
2024-12-02,SKU-2,179,0
2024-12-03,SKU-2,170,0
2024-12-04,SKU-2,171,0
2024-12-05,SKU-2,172,0
2024-12-06,SKU-2,182,0
2024-12-07,SKU-2,188,0
2024-12-08,SKU-2,194,0
2024-12-09,SKU-2,170,0
2024-12-10,SKU-2,252,1
2024-12-11,SKU-2,189,0
2024-12-12,SKU-2,181,0
2024-12-13,SKU-2,175,0
2024-12-14,SKU-2,257,1
2024-12-15,SKU-2,187,0
2024-12-16,SKU-2,185,0
2024-12-17,SKU-2,188,0
2024-12-18,SKU-2,179,0
2024-12-19,SKU-2,184,0
2024-12-20,SKU-2,192,0
2024-12-21,SKU-2,197,0
2024-12-22,SKU-2,197,0
2024-12-23,SKU-2,178,0
2024-12-24,SKU-2,185,0
2024-12-25,SKU-2,184,0
2024-12-26,SKU-2,191,0
2024-12-27,SKU-2,190,0
2024-12-28,SKU-2,194,0
2024-12-29,SKU-2,212,0
2024-12-30,SKU-2,187,0
2024-12-31,SKU-2,186,0
2024-01-01,SKU-3,85,0
2024-01-02,SKU-3,88,0
2024-01-03,SKU-3,79,0
2024-01-04,SKU-3,84,0
2024-01-05,SKU-3,90,0
2024-01-06,SKU-3,86,0
2024-01-07,SKU-3,93,0
2024-01-08,SKU-3,81,0
2024-01-09,SKU-3,89,0
2024-01-10,SKU-3,88,0
2024-01-11,SKU-3,81,0
2024-01-12,SKU-3,93,0
2024-01-13,SKU-3,90,0
2024-01-14,SKU-3,90,0
2024-01-15,SKU-3,90,0
2024-01-16,SKU-3,94,0
2024-01-17,SKU-3,85,0
2024-01-18,SKU-3,90,0
2024-01-19,SKU-3,92,0
2024-01-20,SKU-3,98,0
2024-01-21,SKU-3,96,0
2024-01-22,SKU-3,89,0
2024-01-23,SKU-3,88,0
2024-01-24,SKU-3,92,0
2024-01-25,SKU-3,87,0
2024-01-26,SKU-3,80,0
2024-01-27,SKU-3,99,0
2024-01-28,SKU-3,101,0
2024-01-29,SKU-3,83,0
2024-01-30,SKU-3,89,0
2024-01-31,SKU-3,96,0
2024-02-01,SKU-3,102,0
2024-02-02,SKU-3,94,0
2024-02-03,SKU-3,96,0
2024-02-04,SKU-3,99,0
2024-02-05,SKU-3,100,0
2024-02-06,SKU-3,92,0
2024-02-07,SKU-3,92,0
2024-02-08,SKU-3,93,0
2024-02-09,SKU-3,92,0
2024-02-10,SKU-3,101,0
2024-02-11,SKU-3,108,0
2024-02-12,SKU-3,132,1
2024-02-13,SKU-3,96,0
2024-02-14,SKU-3,96,0
2024-02-15,SKU-3,90,0
2024-02-16,SKU-3,101,0
2024-02-17,SKU-3,102,0
2024-02-18,SKU-3,102,0
2024-02-19,SKU-3,112,0
2024-02-20,SKU-3,99,0
2024-02-21,SKU-3,95,0
2024-02-22,SKU-3,97,0
2024-02-23,SKU-3,104,0
2024-02-24,SKU-3,105,0
2024-02-25,SKU-3,98,0
2024-02-26,SKU-3,103,0
2024-02-27,SKU-3,97,0
2024-02-28,SKU-3,108,0
2024-02-29,SKU-3,105,0
2024-03-01,SKU-3,98,0
2024-03-02,SKU-3,111,0
2024-03-03,SKU-3,106,0
2024-03-04,SKU-3,104,0
2024-03-05,SKU-3,103,0
2024-03-06,SKU-3,98,0
2024-03-07,SKU-3,99,0
2024-03-08,SKU-3,106,0
2024-03-09,SKU-3,105,0
2024-03-10,SKU-3,105,0
2024-03-11,SKU-3,98,0
2024-03-12,SKU-3,104,0
2024-03-13,SKU-3,111,0
2024-03-14,SKU-3,98,0
2024-03-15,SKU-3,103,0
2024-03-16,SKU-3,114,0
2024-03-17,SKU-3,108,0
2024-03-18,SKU-3,105,0
2024-03-19,SKU-3,99,0
2024-03-20,SKU-3,105,0
2024-03-21,SKU-3,103,0
2024-03-22,SKU-3,108,0
2024-03-23,SKU-3,114,0
2024-03-24,SKU-3,120,0
2024-03-25,SKU-3,107,0
2024-03-26,SKU-3,106,0
2024-03-27,SKU-3,105,0
2024-03-28,SKU-3,103,0
2024-03-29,SKU-3,106,0
2024-03-30,SKU-3,142,1
